left_eye_bottom.x,left_eye_bottom.y,left_eye_center.x,left_eye_center.y,left_eye_left_corner.x,left_eye_left_corner.y,left_eye_lower_left_quarter.x,left_eye_lower_left_quarter.y,left_eye_lower_right_quarter.x,left_eye_lower_right_quarter.y,left_eye_right_corner.x,left_eye_right_corner.y,left_eye_top.x,left_eye_top.y,left_eye_upper_left_quarter.x,left_eye_upper_left_quarter.y,left_eye_upper_right_quarter.x,left_eye_upper_right_quarter.y,class
0,0.036036036,0,0,-0.09009009,0,-0.045045045,0.018018018,0.045045045,0.027027027,0.09009009,0.027027027,0.009009009,-0.027027027,-0.045045045,-0.027027027,0.054054054,-0.009009009,1
0,0.038095239,0,0,-0.085714286,0.00952381,-0.047619048,0.028571429,0.057142857,0.028571429,0.104761904,0.01904762,0.009523809,-0.038095238,-0.047619048,-0.019047619,0.057142857,-0.019047619,2
-0.01,0.04,0,0,-0.08,0.01,-0.05,0.02,0.05,0.03,0.09,0.02,0,-0.03,-0.05,-0.02,0.05,-0.02,2
0,0.04,0,0,-0.09,0.01,-0.05,0.03,0.06,0.03,0.1,0.03,0,-0.03,-0.05,-0.02,0.06,-0.02,2
0,0.039215686,0,0,-0.098039215,0.009803921,-0.049019607,0.029411765,0.049019608,0.029411765,0.098039216,0.029411765,0,-0.029411765,-0.049019607,-0.019607843,0.05882353,-0.019607843,2
0,0.041237114,0,0,-0.092783505,0.010309279,-0.041237113,0.030927835,0.061855671,0.030927835,0.092783506,0.020618557,0,-0.030927835,-0.041237113,-0.020618556,0.061855671,-0.020618556,2
0,0.038834951,0,0,-0.08737864,-0.009708738,-0.048543689,0.019417476,0.058252428,0.029126214,0.097087379,0.019417476,0.009708738,-0.029126214,-0.038834951,-0.029126214,0.067961166,-0.009708738,4
0,0.029411765,0,0,-0.088235294,0,-0.049019608,0.019607844,0.049019607,0.029411765,0.098039215,0.009803922,0,-0.029411764,-0.049019608,-0.019607843,0.058823529,-0.019607843,4
0,0.022988506,0,0,-0.091954023,0,-0.045977012,0.011494253,0.045977011,0.022988506,0.103448276,0.011494253,0,-0.022988506,-0.045977012,-0.022988506,0.057471264,-0.011494253,4
-0.009174312,0.036697248,0,0,-0.09174312,0,-0.055045872,0.018348624,0.055045871,0.027522936,0.100917431,0.018348624,0,-0.036697248,-0.04587156,-0.027522936,0.055045871,-0.018348624,4
0,0.033333333,0,0,-0.088888889,0,-0.044444445,0.022222222,0.055555555,0.022222222,0.1,0.022222222,0,-0.033333333,-0.044444445,-0.033333333,0.066666666,-0.022222222,4
0,0.032786885,0,0,-0.090163934,0,-0.049180328,0.024590164,0.049180328,0.024590164,0.098360656,0.024590164,0.008196721,-0.032786886,-0.049180328,-0.024590164,0.057377049,-0.016393443,1
0,0.041237113,0,0,-0.092783505,0,-0.051546392,0.030927835,0.051546392,0.030927835,0.092783505,0.030927835,0.010309278,-0.030927835,-0.041237114,-0.020618557,0.06185567,-0.010309278,1
0,0.032608696,0,0,-0.108695652,0,-0.054347826,0.021739131,0.054347826,0.032608696,0.097826087,0.032608696,0.010869565,-0.032608695,-0.054347826,-0.02173913,0.054347826,-0.02173913,1
0,0.021505377,0,0,-0.086021505,0,-0.053763441,0.021505377,0.043010753,0.021505377,0.086021506,0.021505377,0.010752688,-0.032258064,-0.043010752,-0.021505376,0.053763441,-0.021505376,5
0,0.034782608,0,0,-0.095652174,0.008695652,-0.052173913,0.026086956,0.052173913,0.034782608,0.086956522,0.026086956,0.008695652,-0.034782609,-0.043478261,-0.026086957,0.060869565,-0.017391305,1
0,0.03,0,0,-0.09,-0.01,-0.05,0.02,0.05,0.03,0.1,0.03,0.01,-0.05,-0.05,-0.04,0.06,-0.02,7
0,0.031578948,0,0,-0.094736842,-0.010526316,-0.052631579,0.021052632,0.052631579,0.031578948,0.105263158,0.021052632,0.010526316,-0.042105263,-0.042105263,-0.031578947,0.063157895,-0.021052631,7
-0.009803921,0.029411765,0,0,-0.098039216,0,-0.058823529,0.019607844,0.049019608,0.029411765,0.098039216,0.019607844,0,-0.049019607,-0.058823529,-0.039215686,0.058823529,-0.029411764,7
0,0.034482759,0,0,-0.091954023,0,-0.057471264,0.022988506,0.045977011,0.022988506,0.103448276,0.022988506,0,-0.045977011,-0.045977012,-0.034482759,0.057471264,-0.034482759,7
0,0.030612245,0,0,-0.081632653,0,-0.051020408,0.020408163,0.040816327,0.030612245,0.081632653,0.020408163,0,-0.040816327,-0.040816326,-0.030612245,0.051020408,-0.020408163,5
-0.006993007,0.034965035,0,0,-0.097902098,-0.006993007,-0.062937063,0.013986014,0.048951049,0.034965035,0.104895105,0.020979021,0.006993007,-0.055944056,-0.055944056,-0.041958042,0.062937063,-0.027972028,7
0,0.021052631,0,0,-0.094736842,-0.010526316,-0.052631579,0.010526316,0.052631579,0.021052631,0.094736842,0.021052631,0.010526316,-0.052631579,-0.052631579,-0.042105263,0.063157894,-0.031578948,8
